id,productType,productTypeKey,name.en,categories,slug.en,_hasStagedChanges,_published,key,createdAt,lastModifiedAt,variantId,sku,images,new image name,prices,articleNumberMax,baseId,images ID,new image name
96911b4c-1182-4001-ad70-7ef6c37cbee0,main,main,Utz Original Potato Chips 2.875oz,"Chips, Popcorn, & Pretzels",utz-original-potato-chips-2-875-oz,FALSE,TRUE,496128f9-7aa3-5b79-acb1-6cc4503e61b7,2021-01-17T21:34:43.288Z,2021-01-17T21:36:42.351Z,1,496128f9-7aa3-5b79-acb1-6cc4503e61b7,https://i8.amplience.net/s/willow/000212||0x0,000212,US-USD 189,212,212,36de60d3-7877-5947-a9d6-4f0a89896bc6,000212
93df93a4-c791-4204-b48f-e16e95ee777e,main,main,Wawa Ground Reg Coffee 12oz bag,"Grocery, Health & Beauty, Ice",wawa-ground-reg-coffee-12-oz-bag,FALSE,TRUE,e96b96ff-0543-5dbc-ab95-ef9d6c385330,2021-01-17T21:34:43.430Z,2021-01-17T21:36:42.252Z,1,e96b96ff-0543-5dbc-ab95-ef9d6c385330,https://i8.amplience.net/s/willow/000275||0x0,000275,US-USD 899,275,275,b5703516-1c97-5356-a713-93d4486fe074,000275
2bf8b479-8716-4a04-aaf6-ae7d5f967e13,main,main,Chocolate Mint Cookies & Creme - Milkshakes,Milkshakes & Flurricanes,chocolate-mint-cookies-creme-milkshakes,FALSE,TRUE,b049c52e-aaaa-54e7-bbed-a9752ca38c56,2021-01-17T21:34:43.140Z,2021-01-17T21:37:26.098Z,1,b049c52e-aaaa-54e7-bbed-a9752ca38c56,https://i8.amplience.net/s/willow/000090||0x0,000090,US-USD 369,90,90,2b43cad3-2b5e-54d0-ac20-3234a595acc2,000090
3008e966-a17b-4b04-b9f5-b570df3c1e96,main,main,Tastey Cakes Rich Frosted Mini Donuts 3oz,Packaged Cake,tastey-cakes-rich-frosted-mini-donuts-3-oz,FALSE,TRUE,2a467b86-1ea4-5ee0-aff7-7f33b4a12c3c,2021-01-17T21:34:43.344Z,2021-01-17T21:36:42.286Z,1,2a467b86-1ea4-5ee0-aff7-7f33b4a12c3c,https://i8.amplience.net/s/willow/000248||0x0,000248,US-USD 189,248,248,64fd962c-fa4a-53c9-a42f-f7acf6a71f06,000248
c1763394-6ac1-4f07-bed4-523c6e4b02e2,main,main,Custom - Double Meat Hoagies & Sandwiches,Hoagies & Sandwiches,custom-double-meat-hoagies-sandwiches,FALSE,TRUE,32173d56-7c53-55f4-bb75-9becc7a971e1,2021-01-17T21:32:25.455Z,2021-01-17T21:36:27.821Z,1,32173d56-7c53-55f4-bb75-9becc7a971e1,https://i8.amplience.net/s/willow/000019||0x0,000019,US-USD 639,19,19,1456369a-f854-5876-8009-16dbda000346,000019
ba0b5376-602a-4308-b26e-474df1d82046,main,main,Chapstick Regular .15 Oz,"Grocery, Health & Beauty, Ice",chapstick-regular-15-oz,FALSE,TRUE,5867ef77-0a05-509f-bfef-349cf1db23d1,2021-01-17T21:34:43.402Z,2021-01-17T21:36:42.293Z,1,5867ef77-0a05-509f-bfef-349cf1db23d1,https://i8.amplience.net/s/willow/000266||0x0,000266,US-USD 199,266,266,ca715e0f-8cbf-56ed-9bd8-83e48e0f88ed,000266
9d68ffc9-797d-4308-a5e9-352f793e5e70,main,main,Trident Original 14 to 18pk,Gum & Mints,trident-original-14-to-18-pk,FALSE,TRUE,d0055d87-cca8-56cc-9cca-fac2cd4ebc1e,2021-01-17T21:34:43.195Z,2021-01-17T21:36:36.785Z,1,d0055d87-cca8-56cc-9cca-fac2cd4ebc1e,https://i8.amplience.net/s/willow/000225||0x0,000225,US-USD 159,225,225,4d9f4453-cf46-51d8-b0af-419ad4ea56e2,000225
a5d03add-785c-4809-a28b-4921478e3b74,main,main,Herr's Jalapeno Kettle Chips 2.625 - 2.875 oz,"Chips, Popcorn, & Pretzels",herrs-jalapeno-kettle-chips-2-625-2-875-oz,FALSE,TRUE,6e4fd51c-3132-5dab-ba45-0d04130f939d,2021-01-17T21:34:43.270Z,2021-01-17T21:36:36.802Z,1,6e4fd51c-3132-5dab-ba45-0d04130f939d,https://i8.amplience.net/s/willow/000206||0x0,000206,US-USD 189,206,206,9287719f-1f15-5691-b623-d1ca9df372c0,000206
9d4d94ae-e3f5-4a09-93e6-97f4477bf1c4,main,main,Twix King 3.02 Oz,Candy,twix-king-3-02-oz,FALSE,TRUE,fce8e82f-eb9c-5269-b8b3-3aadf96dde88,2021-01-17T21:34:43.031Z,2021-01-17T21:37:26.092Z,1,fce8e82f-eb9c-5269-b8b3-3aadf96dde88,https://i8.amplience.net/s/willow/000183||0x0,000183,US-USD 219,183,183,0cb0f4e0-0d83-59af-9511-a9da35406ab2,000183
66a7b0a1-9478-4e09-b891-c27b98c9b6aa,main,main,Mountain Dew - 20oz,Soda,mountain-dew-20-oz,FALSE,TRUE,f772e8b4-eeb5-5ca1-91e9-e3c72bdfdc22,2021-01-17T21:34:42.827Z,2021-01-17T21:37:18.255Z,1,f772e8b4-eeb5-5ca1-91e9-e3c72bdfdc22,https://i8.amplience.net/s/willow/000142||0x0,000142,US-USD 209,142,142,31776de7-ce7b-5e1e-9a17-cfe1ba3b0347,000142
